location,date,deliveries,receipts
BRIDGELINE,2001-11-16,-85000,53638
BRIDGELINE,2001-11-17,-85000,80000
BRIDGELINE,2001-11-18,-85000,80000
BRIDGELINE,2001-11-19,-85000,80000
BRIDGELINE,2001-11-20,-85000,80000
BRIDGELINE,2001-11-21,-85000,80000
BRIDGELINE,2001-11-22,-85000,80000
BRIDGELINE,2001-11-23,-85000,80000
BRIDGELINE,2001-11-24,-85000,32749
BRIDGELINE,2001-11-25,-85000,32749
BRIDGELINE,2001-11-26,-85000,32749
BRIDGELINE,2001-11-27,-85000,32749
BRIDGELINE,2001-11-28,-85000,67071
BRIDGELINE,2001-11-29,-85000,80000
BRIDGELINE,2001-11-30,-85000,80000
BRIDGELINE,2001-12-01,-85000,80000
BRIDGELINE,2001-12-02,-85000,80000
BRIDGELINE,2001-12-03,-85000,80000
BRIDGELINE,2001-12-04,-85000,0
BRIDGELINE,2001-12-05,-85000,0
BRIDGELINE,2001-12-06,-85000,0
BRIDGELINE,2001-12-07,-85000,54500
BRIDGELINE,2001-12-08,-85000,0
BRIDGELINE,2001-12-09,-85000,0
BRIDGELINE,2001-12-10,-85000,0
BRIDGELINE,2001-12-11,-85000,0
BRIDGELINE,2001-12-12,-85000,11010
BRIDGELINE,2001-12-13,-85000,26559
BRIDGELINE,2001-12-14,-85000,11010
BRIDGELINE,2001-12-15,-85000,11066
BRIDGELINE,2001-12-16,-85000,11066
BRIDGELINE,2001-12-17,-85000,11066
BRIDGELINE,2001-12-18,-85000,11066
BRIDGELINE,2001-12-19,-85000,2631
BRIDGELINE,2001-12-20,-85000,12839
BRIDGELINE,2001-12-21,-85000,36381
BRIDGELINE,2001-12-22,-85000,21731
BRIDGELINE,2001-12-23,-85000,21731
BRIDGELINE,2001-12-24,-85000,21731
BRIDGELINE,2001-12-25,-85000,21731
BRIDGELINE,2001-12-26,-85000,21731
BRIDGELINE,2001-12-27,-85000,21731
BRIDGELINE,2001-12-28,-85000,21731
BRIDGELINE,2001-12-29,-85000,0
BRIDGELINE,2001-12-30,-85000,0
BRIDGELINE,2001-12-31,-85000,0
BRIDGELINE,2002-01-01,-85000,0
BRIDGELINE,2002-01-02,-85000,9000
BRIDGELINE,2002-01-03,-85000,16000
BRIDGELINE,2002-01-04,-85000,16000
BRIDGELINE,2002-01-05,-85000,28500
BRIDGELINE,2002-01-06,-85000,28500
BRIDGELINE,2002-01-07,-85000,28500
BRIDGELINE,2002-01-08,-85000,28500
BRIDGELINE,2002-01-09,-85000,44423
BRIDGELINE,2002-01-10,-85000,23000
BRIDGELINE,2002-01-11,-85000,20000
BRIDGELINE,2002-01-12,-85000,0
BRIDGELINE,2002-01-13,-85000,0
BRIDGELINE,2002-01-14,-85000,0
BRIDGELINE,2002-01-15,-85000,0
BRIDGELINE,2002-01-16,-85000,31000
BRIDGELINE,2002-01-17,-85000,0
BRIDGELINE,2002-01-18,-85000,40000
BRIDGELINE,2002-01-19,-85000,8714
BRIDGELINE,2002-01-20,-85000,8714
BRIDGELINE,2002-01-21,-85000,8714
BRIDGELINE,2002-01-22,-85000,8714
BRIDGELINE,2002-01-23,-85000,7714
BRIDGELINE,2002-01-24,-85000,12714
BRIDGELINE,2002-01-25,-85000,714
BRIDGELINE,2002-01-26,-85000,2714
BRIDGELINE,2002-01-27,-85000,2714
BRIDGELINE,2002-01-28,-85000,2714
BRIDGELINE,2002-01-29,-85000,714
BRIDGELINE,2002-01-30,-85000,714
BRIDGELINE,2002-01-31,-85000,714
BRIDGELINE,2002-02-01,-85000,0
BRIDGELINE,2002-02-02,-85000,7000
BRIDGELINE,2002-02-03,-85000,7000
BRIDGELINE,2002-02-04,-85000,7000
BRIDGELINE,2002-02-05,-85000,7000
COLUMBIA GULF,2001-09-01,-15,37
COLUMBIA GULF,2001-09-02,-15,37
COLUMBIA GULF,2001-09-03,-15,37
COLUMBIA GULF,2001-09-04,-4723,18331
COLUMBIA GULF,2001-09-05,-57701,0
COLUMBIA GULF,2001-09-06,-6002,0
COLUMBIA GULF,2001-09-07,-1659,0
COLUMBIA GULF,2001-09-08,-1659,0
COLUMBIA GULF,2001-09-09,-1659,0
COLUMBIA GULF,2001-09-10,-29619,99303
COLUMBIA GULF,2001-09-11,-30,0
COLUMBIA GULF,2001-09-12,-30,0
COLUMBIA GULF,2001-09-13,-30,0
COLUMBIA GULF,2001-09-14,-30,0
COLUMBIA GULF,2001-09-15,-10070,7572
COLUMBIA GULF,2001-09-16,-10070,7572
COLUMBIA GULF,2001-09-17,-10070,7572
COLUMBIA GULF,2001-09-18,-10070,7572
COLUMBIA GULF,2001-09-19,-23749,0
COLUMBIA GULF,2001-09-20,-20,0
COLUMBIA GULF,2001-09-21,0,0
COLUMBIA GULF,2001-09-22,0,0
COLUMBIA GULF,2001-09-23,0,0
COLUMBIA GULF,2001-09-24,-13833,0
COLUMBIA GULF,2001-09-25,-13833,0
COLUMBIA GULF,2001-09-26,-30,0
COLUMBIA GULF,2001-09-27,0,0
COLUMBIA GULF,2001-09-28,-29798,0
COLUMBIA GULF,2001-09-29,-33081,0
COLUMBIA GULF,2001-09-30,-33081,0
COLUMBIA GULF,2001-10-01,-33081,0
COLUMBIA GULF,2001-10-02,-33081,0
COLUMBIA GULF,2001-10-03,-94173,1
COLUMBIA GULF,2001-10-04,-10029,1
COLUMBIA GULF,2001-10-05,-150304,17143
COLUMBIA GULF,2001-10-06,-30,1
COLUMBIA GULF,2001-10-07,-30,1
COLUMBIA GULF,2001-10-08,-30,1
COLUMBIA GULF,2001-10-09,-47030,7
COLUMBIA GULF,2001-10-10,-33,45001
COLUMBIA GULF,2001-10-11,-11628,1
COLUMBIA GULF,2001-10-12,-18478,1
COLUMBIA GULF,2001-10-13,-18478,1
COLUMBIA GULF,2001-10-14,-18478,1
COLUMBIA GULF,2001-10-15,-33,1
COLUMBIA GULF,2001-10-16,-33,1
COLUMBIA GULF,2001-10-17,-13011,1
COLUMBIA GULF,2001-10-18,-47169,1
COLUMBIA GULF,2001-10-19,-49106,20001
COLUMBIA GULF,2001-10-20,-49106,20001
COLUMBIA GULF,2001-10-21,-49106,20001
COLUMBIA GULF,2001-10-22,-70157,17501
COLUMBIA GULF,2001-10-23,-890,8350
COLUMBIA GULF,2001-10-24,-890,8350
COLUMBIA GULF,2001-10-25,-60100,1
COLUMBIA GULF,2001-10-26,-96852,2965
COLUMBIA GULF,2001-10-27,-165000,10001
COLUMBIA GULF,2001-10-28,-165000,10001
COLUMBIA GULF,2001-10-29,-86740,1
COLUMBIA GULF,2001-10-30,-86740,1
COLUMBIA GULF,2001-10-31,-148694,1
COLUMBIA GULF,2001-11-01,-10030,1
COLUMBIA GULF,2001-11-02,-10000,10018
COLUMBIA GULF,2001-11-03,0,22202
COLUMBIA GULF,2001-11-04,0,22202
COLUMBIA GULF,2001-11-05,0,22202
